column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
Flotation Column 02 Air Flow__std,4097.0,4.952512321864897,4.35161779495554,0.0,0.1897614336440135,2.381297269727487,2.9096390285852767,3.422052940162934,4.492175753201812,13.835118228723758,22.191905683619225,56.782881541511856
Flotation Column 03 Air Flow__std,4097.0,1.739062251066424,2.773599172587721,0.0,0.20794092655449403,0.939735645818084,1.2341740217226536,1.4551712526069185,1.6583343353430906,2.0170728262112454,12.958321765834139,53.70602451279344
Flotation Column 04 Air Flow__std,4097.0,0.6630430059208657,0.5383868571238251,0.0,0.0,0.0,0.013515049655674424,0.8176130352630667,1.0777331463267505,1.4125636348152244,1.7168954636611466,3.4001617374525854
Flotation Column 05 Air Flow__std,4097.0,1.1307451895321858,0.918407121901608,0.0,0.0,0.0,0.014619706285881386,1.3956723686514971,1.877910728191182,2.3335414876946547,2.722913246203984,6.478158479066256
Flotation Column 06 Air Flow__std,4097.0,4.421292405968623,4.2089925397613195,0.0,0.19435587172937022,0.24631124087222755,0.755189814991357,4.335619095994878,6.15611710153224,10.44332782456089,15.509906752725241,59.549504759905346
Flotation Column 07 Air Flow__std,4097.0,4.839838307566149,7.60428167520249,0.0,0.4513449444575089,0.8230409705449738,1.364402833004198,2.273055694434253,4.5556569833254805,24.317792528030655,37.77816269252752,53.93862824966009
Flotation Column 01 Level__std,4097.0,27.02663789562343,38.87756203756105,0.0,0.012124817320611063,5.129753983701751,9.36925744376256,12.183133771917817,20.146569433777053,115.62784493989265,197.15202937104183,304.0800050318169
Flotation Column 02 Level__std,4097.0,33.34964051797851,42.99988025300198,0.0,0.36413624323365706,6.14877948636236,10.597649682555403,15.541352031658784,34.05935698298144,136.82292983418472,205.67295656245713,262.69619242662577
Flotation Column 03 Level__std,4097.0,32.83191305825692,49.73803142817106,0.0,0.10699884510205414,3.945134959068487,7.172306221687323,11.133585291610054,31.830096065142072,152.66513447774128,228.98531958309235,330.54670415677333
Flotation Column 04 Level__std,4097.0,40.19391532415446,30.771837048557185,0.0,0.4520340320274021,10.642538153372914,19.526250442815577,30.387616817687608,52.131404775965464,103.94500748912837,150.27370290565784,222.74377766185935
Flotation Column 05 Level__std,4097.0,29.645106139823973,25.27779247167258,0.0,0.25916212132798544,8.137260847624132,14.219312658991871,22.623270906763974,35.48664183963376,76.2758554770948,143.77895528256377,217.17227923179615
Flotation Column 06 Level__std,4097.0,37.29636090823499,31.37544809801568,0.0,1.1314899975125785,6.6697664276255155,15.790209800343328,26.2667217640755,49.24750104335808,103.90592043845413,143.8422225337247,186.62350087738426
Flotation Column 07 Level__std,4097.0,36.720367957776354,24.398455380782632,0.0,0.6373406623904261,9.599638675264341,19.670024366861668,31.229894395857144,47.932199292313136,81.81806948478498,123.90766081514867,204.4523652350648
rows_per_timestamp,4097.0,179.99829143275568,0.09502780230162013,174.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
hour,4097.0,11.507200390529656,6.925348972840636,0.0,0.0,1.0,5.0,12.0,18.0,22.0,23.0,23.0
dayofweek,4097.0,3.0144007810593116,1.9923039398518965,0.0,0.0,0.0,1.0,3.0,5.0,6.0,6.0,6.0
day,4097.0,15.330729802294362,8.932538793442777,1.0,1.0,2.0,8.0,15.0,23.0,30.0,31.0,31.0
month,4097.0,6.0168415914083475,1.6512186203455865,3.0,3.0,3.0,5.0,6.0,7.0,9.0,9.0,9.0
elapsed_hours,4097.0,2354.434952404198,1203.4700889952173,0.0,40.96,522.8,1342.0,2366.0,3390.0,4209.2,4373.04,4414.0
high_silica_risk,4097.0,0.1159384915792043,0.32019022685278903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
