experiment,fold,model,preprocess,sampling,class_weight,valid_positive_rate,accuracy,balanced_accuracy,precision,recall,f1,brier,roc_auc,pr_auc,log_loss,best_f1_threshold,best_oof_f1,oof_accuracy,oof_balanced_accuracy,oof_precision,oof_recall,oof_f1,oof_brier,oof_roc_auc,oof_pr_auc,oof_log_loss
random_forest_balanced,2,random_forest,raw_no_clip,none,balanced,0.11585365853658537,0.901219512195122,0.6148457350272233,0.71875,0.24210526315789474,0.36220472440944884,0.07610944152441748,0.8799854809437386,0.5554303737516962,0.2694103676755162,,,,,,,,,,,
random_forest_balanced,3,random_forest,raw_no_clip,none,balanced,0.115995115995116,0.8937728937728938,0.5649680139575458,0.7222222222222222,0.1368421052631579,0.23008849557522124,0.07876872680333173,0.8458127362605408,0.5330934247457005,0.2786322515847037,,,,,,,,,,,
random_forest_balanced,4,random_forest,raw_no_clip,none,balanced,0.115995115995116,0.8998778998778999,0.59128380343123,0.782608695652174,0.18947368421052632,0.3050847457627119,0.07953734497343974,0.8415963943006688,0.5209858655169204,0.2817665960076971,,,,,,,,,,,
random_forest_balanced,5,random_forest,raw_no_clip,none,balanced,0.115995115995116,0.9047619047619048,0.5986187845303867,0.9047619047619048,0.2,0.3275862068965517,0.07765310814056244,0.8514539110206455,0.5740184165469708,0.27613293196988253,,,,,,,,,,,
random_forest_balanced,oof,random_forest,raw_no_clip,none,balanced,0.1159384915792043,,,,,,,,,,0.285,0.5536609829488466,0.8913839394679034,0.7565671771920137,0.5287356321839081,0.5810526315789474,0.5536609829488466,0.0778094792138788,0.8569316167281816,0.5457462333512174,0.27575293419532604
extra_trees_balanced,1,extra_trees,raw_no_clip,none,balanced,0.11585365853658537,0.9121951219512195,0.6622141560798548,0.7804878048780488,0.3368421052631579,0.47058823529411764,0.06789572899465157,0.9073103448275862,0.6661320710596564,0.24606411625843272,,,,,,,,,,,
extra_trees_balanced,2,extra_trees,raw_no_clip,none,balanced,0.11585365853658537,0.9158536585365854,0.6962976406533575,0.75,0.4105263157894737,0.5306122448979592,0.07070902327852509,0.8957676950998186,0.6253576177431955,0.2534241276600257,,,,,,,,,,,
extra_trees_balanced,3,extra_trees,raw_no_clip,none,balanced,0.115995115995116,0.9084249084249084,0.6647063099738296,0.717391304347826,0.3473684210526316,0.46808510638297873,0.07524002753528256,0.8623727827856935,0.5562207572213461,0.2663663978983788,,,,,,,,,,,
extra_trees_balanced,4,extra_trees,raw_no_clip,none,balanced,0.115995115995116,0.9072039072039072,0.6731608025588833,0.6862745098039216,0.3684210526315789,0.4794520547945205,0.07331239236810322,0.8823204419889503,0.5797613486253514,0.25868943496906427,,,,,,,,,,,
extra_trees_balanced,5,extra_trees,raw_no_clip,none,balanced,0.115995115995116,0.9120879120879121,0.6804957836580401,0.7346938775510204,0.37894736842105264,0.5,0.06998793302567109,0.8810264611805757,0.6384525743421099,0.25306797574712403,,,,,,,,,,,
